,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,10,B06VXND7JF,4.7,104,9,1,0,18.88,5,6
1,3,B01K1HPA60,4.4,717,126,19,0,17.95,14,16
2,6,B0012DK48C,4.6,211,0,0,0,2.68,33,53
3,13,B00I3VHKVK,4.3,7158,150,65,0,9.99,75,2
4,19,B009NNFB0O,4.4,5021,231,360,0,12.23,5,1
5,2,B00I6A69TM,4.8,2779,22,42,6,2.98,0,1
6,12,B01G98Y1BA,4.9,1263,48,2,0,10.78,0,2
7,17,B019SVHLEY,4.2,1777,96,214,0,7.99,60,3
8,20,B000068PBT,4.5,5474,318,54,0,29.0,0,49
9,18,B00ARF42H0,4.2,6263,396,296,0,19.99,0,12
10,8,B0013MTHWQ,4.5,848,26,24,16,15.7,5,15
11,9,B00B1M0XCG,4.3,1532,65,24,0,9.57,0,4
12,7,B0046VGPHQ,4.4,5338,414,83,0,13.1,0,38
13,11,B014HNOXZS,4.2,658,19,0,11,5.78,5,27
14,1,B004B8AZH0,4.5,3997,58,46,0,33.97,29,1
15,14,B0018A32XS,4.2,4238,322,85,0,17.99,28,1
16,16,B0000536EY,4.5,674,20,5,1,3.76,5,58
17,15,B01LA91S28,4.6,588,8,3,0,11.36,5,9
18,4,B071KW9GTT,4.5,27,14,4,0,19.99,0,1
19,5,B0049LUI9O,4.1,11316,159,124,0,11.99,40,1
20,69,B0084AWBRS,4.7,700,24,5,8,4.27,29,10
21,62,B01BSB56OY,4.6,595,19,0,0,7.89,0,15
22,77,B001ECQ7G4,4.4,2855,110,7,0,21.99,0,17
23,70,B003YJAZZ4,4.4,4770,609,238,0,154.32,47,40
24,68,B01M1H2J7T,4.5,1042,9,1,1,6.97,53,1
25,63,B0039LMTBA,4.5,2700,48,23,0,18.97,5,9
26,80,B01BNN8B76,2.7,437,15,13,1,13.75,31,3
27,73,B01EMW5MY0,4.0,92,0,0,0,0.0,0,1
28,79,B013SJWE2G,4.5,913,29,13,0,6.99,0,3
29,74,B000XVSNTQ,4.3,1471,19,1,8,9.49,5,20
30,75,B00VPVEVSK,4.7,972,15,0,1,7.75,66,1
31,72,B003KWVOD2,4.5,4623,87,15,0,15.64,13,10
32,67,B003JFJF5E,3.8,376,45,20,0,6.64,5,8
33,71,B00821ZHMK,4.5,5454,102,42,0,8.99,36,26
34,78,B0009DT39C,4.2,2462,122,60,0,19.99,0,1
35,61,B01LZ3RLPC,4.5,131,11,0,0,9.98,72,2
36,66,B00LIBEBTG,4.6,786,24,4,0,9.98,47,1
37,65,B003983I1S,4.5,3140,44,33,0,28.47,5,1
38,76,B00E4PMQAO,4.5,5234,80,53,0,17.95,22,2
39,64,B0168MB6BA,4.5,519,17,7,3,28.32,5,7
40,24,B01EWBYUDU,4.2,1692,37,34,0,7.99,73,3
41,32,B000FYVOJC,4.3,3675,79,20,0,19.94,0,97
42,36,B00QPNVC0I,4.4,1517,39,7,0,8.78,5,15
43,40,B0039LMTBU,4.1,1699,16,3,2,13.24,5,6
44,23,B000050FDY,4.6,624,28,5,0,8.99,36,23
45,25,B000VDEQBK,4.5,168,4,1,0,5.98,0,1
46,26,B003S516XO,4.4,4115,228,34,0,19.96,0,17
47,21,B0039LMTHE,4.5,2700,48,23,0,26.23,5,3
48,33,B00H2B4H2M,4.1,2269,212,80,0,19.99,0,16
49,27,B001VEK1HQ,4.4,2399,123,36,0,37.99,5,14
50,31,B003983HZK,4.5,4623,87,15,0,27.62,0,1
51,37,B00JA1AHRG,4.3,174,8,0,0,4.93,0,15
52,30,B00UKVNSLC,4.4,965,113,13,0,39.97,52,9
53,34,B013SJMB10,4.3,1474,38,6,0,6.99,65,3
54,38,B008O47ILI,4.5,239,13,14,0,2.29,0,33
55,28,B00GZG4KSG,4.3,516,36,8,0,16.19,46,8
56,29,B00R6P72JO,4.8,7964,92,45,0,7.39,0,8
57,35,B016LI8E4S,4.6,6568,22,20,8,9.97,34,1
58,22,B01D328BG6,4.2,1987,202,32,0,34.95,0,1
59,39,B00005AUIE,3.8,1596,13,26,4,18.04,5,9
60,42,B01JLVS726,4.4,463,43,8,0,11.65,0,19
61,56,B00KOW827M,4.4,4302,97,19,0,8.99,75,2
62,49,B000NJG82W,4.2,1707,40,14,0,3.4,77,25
63,41,B071FHQM3X,4.8,386,0,0,0,16.99,72,1
64,48,B00BVO6RT2,4.3,368,20,1,0,13.99,0,8
65,47,B00LMIVLXY,4.3,2755,99,29,0,14.2,5,2
66,51,B003FBI9LS,4.1,3480,173,25,0,19.9,29,53
67,50,B00V75EUWQ,4.1,777,27,5,0,8.99,0,4
68,52,B0050QJHTO,4.2,6466,335,92,0,23.71,5,15
69,53,B00J4YYFYA,4.8,125,1,1,0,4.47,0,1
70,60,B01859QHAY,4.3,769,83,38,0,39.95,20,14
71,54,B01F88BMC8,4.3,290,6,6,0,8.49,65,1
72,58,B00MAOCXZ4,3.3,457,0,0,0,5.49,15,9
73,46,B01AAQD2NU,4.4,2320,87,28,0,29.99,57,18
74,44,B00WO69JOQ,4.3,721,29,17,0,8.99,55,1
75,43,B004BCXAM8,4.1,2392,35,7,0,5.69,5,11
76,45,B06XRX3XYS,2.9,225,4,0,1,12.99,68,1
77,57,B01N2VNJXC,4.4,1619,51,5,0,49.99,58,1
78,55,B071Y4QDMN,3.8,101,17,3,2,14.99,0,1
79,59,B0019LWU2K,4.7,1385,87,48,0,6.06,33,38
80,87,B003EMNITQ,4.3,691,9,2,2,19.45,5,1
81,89,B01JSVXHFG,4.2,317,159,8,0,13.99,0,1
82,99,B00B8XWI7G,3.6,480,38,7,0,4.95,0,11
83,97,B004CCSKCW,4.0,227,15,0,1,8.54,5,22
84,95,B01NAV6TFT,4.6,117,0,0,0,6.99,46,1
85,93,B009WUA658,4.1,1197,20,7,1,9.29,16,1
86,86,B00TKS5Y3Q,4.7,5317,40,31,0,13.26,67,1
87,82,B00BPBLMCS,4.4,1714,81,124,0,32.95,23,8
88,81,B00UB7A5MU,4.4,29,2,0,0,1.87,0,1
89,98,B01N57TNDN,3.7,493,6,6,1,6.99,75,1
90,90,B0043OYFKU,4.3,7058,319,78,0,24.9,0,6
91,100,B0037HP9OA,4.1,3588,332,132,0,59.85,14,20
92,96,B00CGN9LQ8,4.3,4296,73,30,0,10.77,51,1
93,94,B01D328DG4,4.5,272,4,2,0,23.7,5,7
94,91,B00YNF6H1O,4.2,1846,25,1992,0,7.95,87,1
95,85,B01HIPSFV0,4.8,856,8,1,3,9.97,33,1
96,92,B00GJ1UK3G,4.0,1123,47,9,0,9.99,0,1
97,83,B009WQH8SA,4.5,1781,37,10,0,6.64,5,19
98,88,B01HTGNIH4,4.4,701,26,0,0,6.99,73,1
99,84,B0182XCOGE,4.6,2486,66,14,0,11.36,0,1
