,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,94,B00K0DI04A,4.5,1042,61,14,0,7.5,0,43
1,86,B06W2GPVVC,4.8,195,19,1,0,42.99,52,1
2,89,B00BLI96DW,3.2,367,36,3,0,22.6,25,1
3,96,B01CPUVTI4,4.3,126,15,0,0,2.95,58,1
4,93,B01GRL0XMK,3.9,1056,85,10,0,14.99,70,1
5,81,B004O22328,4.6,788,23,6,4,11.48,0,15
6,91,B00PRC2YM8,3.7,235,56,4,0,20.0,0,1
7,85,B00PM2T3N6,4.5,492,13,2,0,7.49,50,1
8,92,B01N67CZX4,4.4,183,25,1,0,39.99,50,1
9,82,B004NJXW1I,4.3,705,33,6,0,33.8,0,18
10,100,B000C1ZDTU,4.1,2171,28,6,0,20.29,70,10
11,83,B01N7IZ4BZ,4.4,350,54,3,0,21.99,45,1
12,84,B01DLUIAD4,4.4,158,5,0,0,8.99,70,1
13,98,B00BKQIQDQ,4.4,557,14,0,1,6.95,0,2
14,90,B00YQ93VPW,4.3,1168,50,17,0,19.95,49,1
15,87,B00WFXNXVI,4.5,697,37,6,0,13.95,51,1
16,99,B004O276EI,4.6,592,20,0,1,11.87,0,8
17,95,B00QR1VQB8,4.5,1535,51,3,0,7.79,48,1
18,97,B06Y2GVW5Z,3.4,25,0,0,0,9.99,50,1
19,88,B071S5KCXM,0.0,0,0,0,0,6.29,0,1
20,69,B00GF9ZBJA,4.3,370,16,3,0,15.59,0,29
21,66,B00SI585E2,4.5,250,15,3,1,12.99,50,1
22,76,B000WZR1R8,4.5,356,8,5,10,48.99,33,1
23,74,B000C1Z5AW,4.4,503,10,0,1,35.38,55,59
24,61,B01GXOXYSG,4.6,95,10,0,0,14.22,5,1
25,63,B0000ZUGS6,4.4,1332,28,23,3,14.5,0,1
26,67,B00R36LSZ0,4.7,901,33,10,0,13.84,31,16
27,62,B01F2AKYYO,4.3,703,14,0,0,12.99,63,1
28,64,B0183K2AG0,4.7,2000,202,62,0,29.75,57,1
29,75,B01N1856R7,4.7,75,4,0,0,13.95,35,1
30,72,B000C213ES,4.2,3199,60,10,0,75.99,26,1
31,79,B00PHVXISS,4.4,1124,43,4,0,8.99,55,1
32,65,B000C1Z3LS,4.6,779,15,4,2,31.49,0,62
33,78,B01MR7J7YR,4.6,2947,406,30,0,29.99,25,1
34,80,B00BKQIMBC,4.0,694,22,17,0,7.35,0,5
35,77,B000MGOZJ4,4.6,176,6,1,0,4.36,0,27
36,73,B01G0WMTYQ,4.5,387,19,6,0,12.98,0,1
37,68,B003I6TOM8,4.4,638,21,8,1,23.17,0,13
38,70,B071L6L14D,4.6,16,0,0,0,0.0,0,1
39,71,B00QXVMPOY,4.6,2120,46,4,0,7.99,43,1
40,37,B01N20H4ZQ,4.7,803,26,2,1,25.99,68,1
41,24,B00QXVNSE0,4.5,2958,52,12,0,8.99,55,1
42,29,B001FWXHC0,4.4,563,15,3,0,15.99,76,57
43,21,B01HULIXKU,4.5,1194,131,14,0,0.0,0,1
44,40,B011JBP5DK,4.4,1375,69,37,0,11.97,37,1
45,32,B00QR6SS6O,4.3,1663,45,17,0,13.95,53,1
46,25,B005MQ2BQI,4.7,1618,44,12,0,33.02,0,27
47,36,B00PYS7R7M,4.5,1412,25,5,0,6.99,65,1
48,38,B00VXHY6KY,4.4,1227,47,28,0,13.95,53,1
49,22,B01M1A5RRT,4.4,666,42,29,0,26.9,0,4
50,34,B0118Q011M,4.5,2495,185,26,0,0.0,0,1
51,23,B0019LRZ2A,4.4,2980,110,26,0,9.71,0,14
52,30,B014G8IYRM,4.3,2116,45,23,0,28.5,0,1
53,27,B00Y2BGFIO,4.5,3589,158,14,0,0.0,0,1
54,28,B000E7UFM2,4.3,802,22,3,4,12.69,0,30
55,39,B06Y245185,4.5,18,0,0,0,7.99,60,1
56,26,B004O25R8A,4.5,937,28,5,1,23.73,0,9
57,31,B00SA5UWW8,4.5,4351,98,20,0,19.99,51,3
58,33,B01KJAJLN2,4.5,261,11,8,0,12.59,40,1
59,35,B000XE5260,4.4,1945,61,16,0,35.8,0,71
60,54,B01JRD7Y9U,4.4,769,21,11,0,11.95,76,1
61,56,B00UNXFD6A,4.7,795,27,2,0,9.99,50,1
62,49,B00VS18XEK,4.3,836,68,12,0,15.5,0,11
63,48,B00P6O790E,4.6,775,14,2,0,5.99,70,1
64,43,B00B4TR3KG,4.5,1042,61,14,0,41.94,0,100
65,46,B00P6O9KDS,4.7,745,15,16,1,6.99,42,1
66,42,B01MR4Y0CZ,4.8,440,82,70,0,29.99,63,1
67,45,B001U582SQ,4.2,286,15,1,1,52.28,38,1
68,44,B005O91CUE,4.3,535,11,0,1,17.4,0,1
69,59,B000JL7WQK,4.3,1445,37,8,0,23.99,0,78
70,51,B01KFU4IL6,4.3,739,48,4,0,10.95,42,2
71,53,B00PHQB8EE,4.4,287,14,1,0,7.49,50,1
72,47,B01KJAJMEA,4.6,38,6,4,1,0.0,0,1
73,50,B002XQ1X4G,4.5,2052,84,15,0,49.99,0,36
74,55,B00QXVNRGY,4.5,1185,29,3,0,7.99,60,1
75,41,B01KFYCH9W,4.5,540,44,3,0,22.99,67,1
76,60,B01LB17194,4.8,781,99,19,0,45.99,58,1
77,58,B00PHMOXH2,4.3,508,15,8,0,6.99,65,1
78,57,B00028M3N2,4.5,1278,81,32,0,12.79,0,28
79,52,B00C9358NU,4.4,848,33,11,0,15.95,60,1
80,3,B01161IL20,4.4,3562,128,30,0,16.95,15,5
81,5,B014SF6MBI,4.2,7434,552,36,0,13.95,53,1
82,20,B00PHVXIQA,4.3,2602,49,12,0,9.99,50,1
83,19,B0128HRZOG,4.5,1449,67,28,0,19.95,0,1
84,7,B005IHJ556,4.5,5769,162,105,0,12.65,0,1
85,13,B01J15VL8O,4.0,831,65,9,0,14.24,5,1
86,12,B00QJCFWSI,4.5,1463,37,4,0,6.99,50,1
87,6,B01KK90ZH8,4.3,1017,72,5,0,27.95,53,1
88,11,B01CXPSS30,4.2,587,28,3,0,0.0,0,1
89,14,B06Y2CLF3T,4.8,53,3,1,0,7.99,60,1
90,10,B06WW955KY,4.0,831,65,9,0,23.99,60,1
91,16,B0118QC1BA,4.6,6286,414,79,0,25.99,57,1
92,15,B00QVNKSA2,4.6,2855,112,9,0,12.95,47,1
93,9,B01N4DB4A4,4.6,335,20,0,0,12.95,19,3
94,8,B00OEIBJRW,4.4,2828,37,31,0,9.99,50,1
95,17,B0009OAHC8,4.3,1926,47,4,0,19.94,0,20
96,18,B00NPC7EEU,4.7,4130,55,22,0,10.77,63,1
97,4,B00TSTZQEY,4.3,4843,128,101,0,14.95,57,1
98,2,B00V9JP8EE,4.3,9116,600,115,0,13.95,65,1
99,1,B0163GBZK8,4.4,9099,202,33,0,14.95,81,1
